127.0.0.1 - - [18/Dec/2017:10:39:54 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:56 +0530] "GET /Ecom_frontend/ HTTP/1.1" 200 9002
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:56 +0530] "GET /Ecom_frontend/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:56 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:56 +0530] "GET /Ecom_frontend/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:56 +0530] "GET /Ecom_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:56 +0530] "GET /Ecom_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:56 +0530] "GET /Ecom_frontend/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:56 +0530] "GET /Ecom_frontend/resources/images/bike-dragonlogo.jpg HTTP/1.1" 200 26065
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:56 +0530] "GET /Ecom_frontend/resources/images/img1.jpg HTTP/1.1" 200 309429
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:56 +0530] "GET /Ecom_frontend/resources/images/PULSER%20NO1.jpg HTTP/1.1" 200 191256
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:56 +0530] "GET /Ecom_frontend/resources/images/hondamotogppedrosa12.jpg HTTP/1.1" 200 126052
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:56 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:39:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:45 +0530] "GET /Ecom_frontend/reg HTTP/1.1" 200 11254
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:45 +0530] "GET /Ecom_frontend/.resources/css/registerpage.css HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:45 +0530] "GET /Ecom_frontend/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:45 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:45 +0530] "GET /Ecom_frontend/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:45 +0530] "GET /Ecom_frontend/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:45 +0530] "GET /Ecom_frontend/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:45 +0530] "GET /Ecom_frontend/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:45 +0530] "GET /Ecom_frontend/resources/images/bike-dragonlogo.jpg HTTP/1.1" 200 26065
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:46 +0530] "GET /Ecom_frontend/.resources/css/registerpage.css HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:46 +0530] "GET /Ecom_frontend/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Dec/2017:10:42:48 +0530] "GET /Ecom_frontend/admin/add HTTP/1.1" 302 -
